"name","gender","year","count"
"EMMA","F",2018,18688
"OLIVIA","F",2018,17921
"AVA","F",2018,14924
"ISABELLA","F",2018,14464
"SOPHIA","F",2018,13928
"CHARLOTTE","F",2018,12940
"MIA","F",2018,12642
"AMELIA","F",2018,12301
"HARPER","F",2018,10582
"EVELYN","F",2018,10376
"ABIGAIL","F",2018,9796
"EMILY","F",2018,8656
"ELIZABETH","F",2018,8513
"MILA","F",2018,8126
"ELLA","F",2018,8055
"AVERY","F",2018,8053
"SOFIA","F",2018,7621
"CAMILA","F",2018,7473
"ARIA","F",2018,7394
"SCARLETT","F",2018,7182
"VICTORIA","F",2018,7089
"MADISON","F",2018,7036
"LUNA","F",2018,6897
"GRACE","F",2018,6724
"CHLOE","F",2018,6626
"PENELOPE","F",2018,6474
"LAYLA","F",2018,6468
"RILEY","F",2018,5976
"ZOEY","F",2018,5899
"NORA","F",2018,5799
"LILY","F",2018,5706
"ELEANOR","F",2018,5694
"HANNAH","F",2018,5629
"LILLIAN","F",2018,5534
"ADDISON","F",2018,5203
"AUBREY","F",2018,5190
"ELLIE","F",2018,5190
"STELLA","F",2018,5121
"NATALIE","F",2018,5095
"ZOE","F",2018,5062
"LEAH","F",2018,4995
"HAZEL","F",2018,4916
"VIOLET","F",2018,4794
"AURORA","F",2018,4785
"SAVANNAH","F",2018,4745
"AUDREY","F",2018,4662
"BROOKLYN","F",2018,4611
"BELLA","F",2018,4518
"CLAIRE","F",2018,4379
"SKYLAR","F",2018,4378
"LUCY","F",2018,4354
"PAISLEY","F",2018,4333
"EVERLY","F",2018,4313
"ANNA","F",2018,4145
"CAROLINE","F",2018,4136
"NOVA","F",2018,4124
"GENESIS","F",2018,4068
"EMILIA","F",2018,4020
"KENNEDY","F",2018,3924
"SAMANTHA","F",2018,3897
"MAYA","F",2018,3882
"WILLOW","F",2018,3881
"KINSLEY","F",2018,3856
"NAOMI","F",2018,3821
"AALIYAH","F",2018,3811
"ELENA","F",2018,3758
"SARAH","F",2018,3734
"ARIANA","F",2018,3715
"ALLISON","F",2018,3678
"GABRIELLA","F",2018,3677
"ALICE","F",2018,3643
"MADELYN","F",2018,3634
"CORA","F",2018,3574
"RUBY","F",2018,3552
"EVA","F",2018,3542
"SERENITY","F",2018,3517
"AUTUMN","F",2018,3471
"ADELINE","F",2018,3463
"HAILEY","F",2018,3449
"GIANNA","F",2018,3429
"VALENTINA","F",2018,3416
"ISLA","F",2018,3393
"ELIANA","F",2018,3373
"QUINN","F",2018,3369
"NEVAEH","F",2018,3359
"IVY","F",2018,3256
"SADIE","F",2018,3247
"PIPER","F",2018,3202
"LYDIA","F",2018,3184
"ALEXA","F",2018,3053
"JOSEPHINE","F",2018,3023
"EMERY","F",2018,2993
"JULIA","F",2018,2989
"DELILAH","F",2018,2982
"ARIANNA","F",2018,2956
"VIVIAN","F",2018,2956
"KAYLEE","F",2018,2938
"SOPHIE","F",2018,2929
"BRIELLE","F",2018,2919
"MADELINE","F",2018,2897
"PEYTON","F",2018,2896
"RYLEE","F",2018,2886
"CLARA","F",2018,2877
"HADLEY","F",2018,2861
"MELANIE","F",2018,2841
"MACKENZIE","F",2018,2810
"REAGAN","F",2018,2803
"ADALYNN","F",2018,2801
"LILIANA","F",2018,2773
"AUBREE","F",2018,2767
"JADE","F",2018,2673
"KATHERINE","F",2018,2666
"ISABELLE","F",2018,2640
"NATALIA","F",2018,2617
"RAELYNN","F",2018,2599
"MARIA","F",2018,2595
"ATHENA","F",2018,2582
"XIMENA","F",2018,2558
"ARYA","F",2018,2545
"LEILANI","F",2018,2505
"TAYLOR","F",2018,2478
"FAITH","F",2018,2442
"ROSE","F",2018,2432
"KYLIE","F",2018,2416
"ALEXANDRA","F",2018,2394
"MARY","F",2018,2327
"MARGARET","F",2018,2312
"LYLA","F",2018,2288
"ASHLEY","F",2018,2267
"AMAYA","F",2018,2256
"ELIZA","F",2018,2254
"BRIANNA","F",2018,2235
"BAILEY","F",2018,2163
"ANDREA","F",2018,2154
"KHLOE","F",2018,2136
"JASMINE","F",2018,2133
"MELODY","F",2018,2131
"IRIS","F",2018,2109
"ISABEL","F",2018,2052
"NORAH","F",2018,1999
"ANNABELLE","F",2018,1977
"VALERIA","F",2018,1976
"EMERSON","F",2018,1935
"ADALYN","F",2018,1930
"RYLEIGH","F",2018,1915
"EDEN","F",2018,1894
"EMERSYN","F",2018,1886
"ANASTASIA","F",2018,1880
"KAYLA","F",2018,1875
"ALYSSA","F",2018,1870
"JULIANA","F",2018,1842
"CHARLIE","F",2018,1840
"ESTHER","F",2018,1831
"ARIEL","F",2018,1810
"CECILIA","F",2018,1798
"VALERIE","F",2018,1794
"ALINA","F",2018,1791
"MOLLY","F",2018,1790
"REESE","F",2018,1788
"ALIYAH","F",2018,1765
"LILLY","F",2018,1755
"PARKER","F",2018,1754
"FINLEY","F",2018,1749
"MORGAN","F",2018,1749
"SYDNEY","F",2018,1749
"JORDYN","F",2018,1735
"ELOISE","F",2018,1733
"TRINITY","F",2018,1707
"DAISY","F",2018,1702
"KIMBERLY","F",2018,1696
"LAUREN","F",2018,1696
"GENEVIEVE","F",2018,1692
"SARA","F",2018,1692
"ARABELLA","F",2018,1686
"HARMONY","F",2018,1668
"ELISE","F",2018,1664
"REMI","F",2018,1644
"TEAGAN","F",2018,1644
"ALEXIS","F",2018,1640
"LONDON","F",2018,1632
"SLOANE","F",2018,1623
